gene_symbol,biofilm_logFC,biofilm_padj,planktonic_logFC,planktonic_padj,biofilm_label,biofilm_abs_logFC,planktonic_abs_logFC,biofilm_significant,planktonic_significant
PA14_21490,0.042,1.0,0.182,1.0,0,0.042,0.182,0,0
PA14_23310,0.026,1.0,-0.041,1.0,0,0.026,0.041,0,0
xcpQ,0.009,1.0,-0.019,1.0,0,0.009,0.019,0,0
PA14_24720,-0.017,1.0,0.195,1.0,0,0.017,0.195,0,0
PA14_24780,0.045,1.0,-0.021,1.0,0,0.045,0.021,0,0
psrA,-0.023,1.0,0.012,1.0,0,0.023,0.012,0,0
nqrB,0.007,1.0,-0.013,1.0,0,0.007,0.013,0,0
cobH,0.067,1.0,0.0,1.0,0,0.067,0.0,0,0
PA14_26540,0.005,1.0,0.023,1.0,0,0.005,0.023,0,0
PA14_30830,-0.001,1.0,0.023,1.0,0,0.001,0.023,0,0
pvdL,0.017,1.0,0.008,1.0,0,0.017,0.008,0,0
PA14_36270,0.03,1.0,0.027,1.0,0,0.03,0.027,0,0
PA14_38680,0.001,1.0,0.025,1.0,0,0.001,0.025,0,0
PA14_41930,-0.022,1.0,-0.026,1.0,0,0.022,0.026,0,0
flhA,0.01,1.0,0.244,1.0,0,0.01,0.244,0,0
PA14_49090,0.081,1.0,-0.017,1.0,0,0.081,0.017,0,0
napD,0.003,1.0,-0.033,1.0,0,0.003,0.033,0,0
PA14_51280,0.01,1.0,0.016,1.0,0,0.01,0.016,0,0
mazG,0.023,1.0,0.021,1.0,0,0.023,0.021,0,0
kup,-0.007,1.0,-0.036,1.0,0,0.007,0.036,0,0
era,0.038,1.0,-0.129,1.0,0,0.038,0.129,0,0
pykA,0.032,1.0,-0.034,1.0,0,0.032,0.034,0,0
PA14_56360,0.011,1.0,0.039,1.0,0,0.011,0.039,0,0
PA14_57500,0.014,1.0,0.002,1.0,0,0.014,0.002,0,0
PA14_59170,0.026,1.0,0.017,1.0,0,0.026,0.017,0,0
PA14_60410,0.006,1.0,0.025,1.0,0,0.006,0.025,0,0
morA,0.004,1.0,0.024,1.0,0,0.004,0.024,0,0
rpsO,0.01,1.0,0.02,1.0,0,0.01,0.02,0,0
PA14_67630,0.004,1.0,0.02,1.0,0,0.004,0.02,0,0
PA14_67640,0.01,1.0,0.02,1.0,0,0.01,0.02,0,0
hisB,-0.003,1.0,0.015,1.0,0,0.003,0.015,0,0
ygaU,-0.004,1.0,0.03,1.0,0,0.004,0.03,0,0
rph,0.011,1.0,-0.001,1.0,0,0.011,0.001,0,0
PA14_01160,0.01,1.0,-0.012,1.0,0,0.01,0.012,0,0
PA14_02435,-0.142,1.0,0.015,1.0,0,0.142,0.015,0,0
pfpI,-0.016,1.0,-0.002,1.0,0,0.016,0.002,0,0
ftsY,0.011,1.0,-0.007,1.0,0,0.011,0.007,0,0
PA14_07240,-0.024,1.0,0.027,1.0,0,0.024,0.027,0,0
PA14_08190,0.05,1.0,0.02,1.0,0,0.05,0.02,0,0
rplN,0.024,1.0,0.025,1.0,0,0.024,0.025,0,0
PA14_11900,0.016,1.0,-0.064,1.0,0,0.016,0.064,0,0
sltB1,-0.004,1.0,0.0,1.0,0,0.004,0.0,0,0
PA14_12670,-0.001,1.0,0.041,1.0,0,0.001,0.041,0,0
PA14_12690,0.015,1.0,-0.033,1.0,0,0.015,0.033,0,0
narG,0.049,1.0,0.004,1.0,0,0.049,0.004,0,0
xseA,0.037,1.0,0.016,1.0,0,0.037,0.016,0,0
purL,0.01,1.0,0.015,1.0,0,0.01,0.015,0,0
PA14_15850,0.058,1.0,0.016,1.0,0,0.058,0.016,0,0
PA14_16030,0.0,1.0,0.062,1.0,0,0.0,0.062,0,0
PA14_16730,0.035,1.0,0.031,1.0,0,0.035,0.031,0,0
PA14_17570,0.021,1.0,0.013,1.0,0,0.021,0.013,0,0
lsfA,0.026,1.0,-0.03,1.0,0,0.026,0.03,0,0
folX,0.032,1.0,-0.036,1.0,0,0.032,0.036,0,0
amiC,0.011,1.0,-0.011,1.0,0,0.011,0.011,0,0
xcpR,0.006,1.0,-0.026,1.0,0,0.006,0.026,0,0
PA14_24180,-0.002,1.0,-0.009,1.0,0,0.002,0.009,0,0
rne,0.015,1.0,-0.004,1.0,0,0.015,0.004,0,0
PA14_27230,0.033,1.0,0.011,1.0,0,0.033,0.011,0,0
PA14_28020,0.128,1.0,-0.009,1.0,0,0.128,0.009,0,0
rplT,0.006,1.0,-0.031,1.0,0,0.006,0.031,0,0
PA14_30540,-0.028,1.0,-0.055,1.0,0,0.028,0.055,0,0
